"","D_norm.attendance_norm","D_norm.Q1_norm","D_norm.Q3_norm","D_norm.Q5_norm","D_norm.Q8_norm","D_norm.Q9_norm","D_norm.Q11_norm","D_norm.Q16_norm","D_norm.Q17_norm","D_norm.Q18_norm","D_norm.Q22_norm","D_norm.Q24_norm","D_norm.Q26_norm"
"D_norm.attendance_norm",1,0.109793902075062,0.180001874967973,0.152331289135045,0.132470683892638,0.177345872812083,0.178238981448241,0.15203665496657,0.234380446969906,0.180547649068022,0.208001593989688,0.162454060086078,0.1742014221494
"D_norm.Q1_norm",0.109793902075062,1,0.747924576092672,0.794372830933864,0.784472278876919,0.721076116461175,0.703047474418525,0.723992135831746,0.57984325467223,0.68910491137,0.646787943498428,0.719708282683461,0.681545340377568
"D_norm.Q3_norm",0.180001874967973,0.747924576092672,1,0.826858622264392,0.783224600619654,0.780978993584322,0.796137616848728,0.780298244531907,0.752136531971714,0.783502538722185,0.772192804378946,0.774977827666496,0.778396126135191
"D_norm.Q5_norm",0.152331289135045,0.794372830933864,0.826858622264392,1,0.864054957965054,0.801679469646411,0.796022747364635,0.834102238648758,0.697811777746457,0.802141853456597,0.759814373423023,0.818263801847463,0.790512243852659
"D_norm.Q8_norm",0.132470683892638,0.784472278876919,0.783224600619654,0.864054957965054,1,0.8157363286307,0.797982982327363,0.80820503760931,0.658408198454995,0.773821122006193,0.722685163201084,0.805513959231031,0.76826773515502
"D_norm.Q9_norm",0.177345872812083,0.721076116461175,0.780978993584322,0.801679469646411,0.8157363286307,1,0.825399035581744,0.791376490516747,0.727833304524577,0.776442492055189,0.765735796715954,0.765072307785069,0.764214560100299
"D_norm.Q11_norm",0.178238981448241,0.703047474418525,0.796137616848728,0.796022747364635,0.797982982327363,0.825399035581744,1,0.783192502260827,0.735844753879652,0.772153077858465,0.777292644376353,0.773162467620547,0.772154414890647
"D_norm.Q16_norm",0.15203665496657,0.723992135831746,0.780298244531907,0.834102238648758,0.80820503760931,0.791376490516747,0.783192502260827,1,0.782794073779638,0.900360479559504,0.834713469563703,0.871382396933126,0.850768764201018
"D_norm.Q17_norm",0.234380446969906,0.57984325467223,0.752136531971714,0.697811777746457,0.658408198454995,0.727833304524577,0.735844753879652,0.782794073779638,1,0.83062137095383,0.861175942424652,0.76582957985897,0.798935806238788
"D_norm.Q18_norm",0.180547649068022,0.68910491137,0.783502538722185,0.802141853456597,0.773821122006193,0.776442492055189,0.772153077858465,0.900360479559504,0.83062137095383,1,0.863014574966635,0.859924536748424,0.844879787053854
"D_norm.Q22_norm",0.208001593989688,0.646787943498428,0.772192804378946,0.759814373423023,0.722685163201084,0.765735796715954,0.777292644376353,0.834713469563703,0.861175942424652,0.863014574966635,1,0.850284405134816,0.858052540138089
"D_norm.Q24_norm",0.162454060086078,0.719708282683461,0.774977827666496,0.818263801847463,0.805513959231031,0.765072307785069,0.773162467620547,0.871382396933126,0.76582957985897,0.859924536748424,0.850284405134816,1,0.868103752428095
"D_norm.Q26_norm",0.1742014221494,0.681545340377568,0.778396126135191,0.790512243852659,0.76826773515502,0.764214560100299,0.772154414890647,0.850768764201018,0.798935806238788,0.844879787053854,0.858052540138089,0.868103752428095,1
